,Possible locations (Wriite at least three)
person,"park, library, outside"
bicycle,"garage, bicycle stand, bicycle shop"
car,"road, garage, car dealer"
motorcycle,"highway, garage, outside"
airplane,"sky, airport, runway"
bus,"bus stop,  factory, station"
train,"station, tunnel, mountain"
truck,"highway, garage, outside"
boat,"water, port, sea"
traffic light,"road, highway, city"
fire hydrant,"pavement, city, town"
stop sign,"city, town, road"
parking meter,"neighbourhood, parking lot, dump"
bench,"park, woods, mountain"
bird,"tree, park, woods"
cat,"home, roof, Nicole's lap"
dog,"park, pavement, home"
horse,"field, stable, vet"
sheep,"field, stable, vet"
cow,"field, stable, farm"
elephant,"zoo, safari, Africa"
bear,"Sweden, cave, woods"
zebra,"zoo, safari, Africa"
giraffe,"Madagascar, zoo, Africa"
backpack,"coat rack, Nicole's lap, Nicole's back"
umbrella,"Nicole's hands, bicycle basket, Nicole's bag"
handbag,"Nicole's lap, floor, Nicole's room"
tie,"closet, room, laundry basket"
suitcase,"storage, airplane, car"
frisbee,"storage, bin, park"
skis,"ski slope, ski rental, luggage"
snowboard,"ski rental, snow, bag"
sports ball,"gym, Nicole's room, park"
kite,"park, air, sea"
baseball bat,"ballpark,  woods, crime scene"
baseball glove,"ballpark, park, Nicole's box"
skateboard,"skatepark, hallway, bag"
surfboard,"sea, surfschool, beach"
tennis racket,"tennisclub, bag, "
bottle,"shop, table, wine rack"
wine glass,"table, shelf, bar"
cup,"table, shelf, cupboard"
fork,"table, cutlery drawer, plate"
knife,"table, cutlery drawer, plate"
spoon,"table, cutlery drawer, plate"
bowl,"table, desk, cupboard"
banana,"fruit bowl, floor, restaurant"
apple,"fruit bowl, floor, lunchroom"
sandwich,"restaurant, lunchroom, kitchen"
orange,"fruit bowl, floor, lunchroom"
broccoli,"pan, restaurant, home"
carrot,"pan, restaurant, home"
hot dog,"festival, city, park"
pizza,"stone oven, restaurant, Italy"
donut,"Dunkin Donut, lunch box, USA"
cake,"birthday party, lunchroom "
chair,"dining room, living room, office"
couch,"living room, dump, bedroom"
potted plant,"balcony, shelf, cupboard"
bed,"bedroom, dump, hostel"
dining table,"dining room, living room, office"
toilet,"restroom, dump, festival"
tv,"living room, bar, university"
laptop,"table, desk, Nicole's lap"
mouse,"desk, table, drawer"
remote,"couch, side table, living room"
keyboard,"music shop, living room, music school"
cell phone,"pocket, Nicole's bag,  table"
microwave,"kitchen, restaurant, kitchen counter"
oven,"kitchen, restaurant, kitchen counter"
toaster,"kitchen, drawer, kitchen counter"
sink,"restroom, kitchen, home"
refrigerator,"kitchen, restaurant, lunchroom"
book,"bookshelf, library, Nicole's lap"
clock,"wall, station, church"
vase,"windowsill, table, interior shop"
scissors,"drawer, shop, craft shop"
teddy bear,"toy shop, box, storage"
hair drier,"bathroom, bedroom, suitcase"
toothbrush,"bathroom, sink, toiletries bag"
