Speaker,Nr. turns,MLM,MLM avg,MLM max,MLM avg max
ACTION,19,0.0,0.0,"[0.08714195340871811, 0.17376717925071716, 0.08589281886816025, 0.04583122581243515, 0.050334133207798004]",0.08859346210956573
Piek,19,0.06397915887646377,0.06397915887646377,"[0.10278894007205963, 0.1256970465183258, 0.4377591796219349, 0.11718397960066795, 0.060953520238399506, 0.663311317563057, 0.5480227544903755, 0.5554273128509521]",0.32639300636947155
Ai2Thor,19,0.3376589702366613,0.3376589702366613,"[0.6680597599063601, 0.5662592229518023, 0.3692694935533736, 0.46824410930275917, 0.9291598581605487, 0.7347389152989938]",0.6226218931956397
