Mention ID;Turn;GROUP A - Total nodes;GROUP A - Total edges;GROUP A - Average degree;GROUP A - Average degree centrality;GROUP A - Average closeness;GROUP A - Average degree connectivity;GROUP A - Average assortativity;GROUP A - Average node connectivity;GROUP A - Number of components;GROUP A - Number of strong components;GROUP A - Centrality entropy;GROUP A - Closeness entropy;GROUP A - Sparseness;GROUP B - Total classes;GROUP B - Total properties;GROUP B - Average population;GROUP B - Attribute richness;GROUP B - Relationship richness;GROUP B - Total axioms;GROUP C - Total triples;GROUP C - Total world instances;GROUP C - Total claims;GROUP C - Total perspectives;GROUP C - Total mentions;GROUP C - Total conflicts;GROUP C - Total sources;GROUP C - Total interactions;GROUP C - Total utterances;GROUP C - Ratio claim to triples;GROUP C - Ratio perspectives to triples;GROUP C - Ratio conflicts to triples;GROUP C - Ratio perspectives to claims;GROUP C - Ratio mentions to claims;GROUP C - Ratio conflicts to claims;GROUP C - Average perspectives per claim;GROUP C - Average mentions per claim;GROUP C - Average turns per interaction;GROUP C - Average claims per source;GROUP C - Average perspectives per source
8f68b863-98da-4ad8-9824-b253f6bbc3eb;0;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6926e189-5d75-4402-97d2-8d92820587c6;1;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56d0526b-e918-4150-9e72-49eadae35484;2;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
a00a2439-b940-4785-a412-20c6c04f4721;3;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
76759a20-30f1-4723-99c3-70409d6614c1;4;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
5119b0d8-f268-410d-81bf-5cb6ff8fa50a;5;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
dbdf6c20-9819-4214-88e8-a96acae6a16c;6;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
21bf4caa-c7bc-4cda-9927-1637fb7fb2ad;7;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
949e3682-9a61-410b-b663-9f22c05311f2;8;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
c5bb1139-b5e0-441c-aaf7-b6b46304aee8;9;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
