Mention ID;Turn;GROUP A - Total nodes;GROUP A - Total edges;GROUP A - Average degree;GROUP A - Average degree centrality;GROUP A - Average closeness;GROUP A - Average degree connectivity;GROUP A - Average assortativity;GROUP A - Average node connectivity;GROUP A - Number of components;GROUP A - Number of strong components;GROUP A - Centrality entropy;GROUP A - Closeness entropy;GROUP A - Sparseness;GROUP B - Total classes;GROUP B - Total properties;GROUP B - Average population;GROUP B - Attribute richness;GROUP B - Relationship richness;GROUP B - Total axioms;GROUP C - Total triples;GROUP C - Total world instances;GROUP C - Total claims;GROUP C - Total perspectives;GROUP C - Total mentions;GROUP C - Total conflicts;GROUP C - Total sources;GROUP C - Total interactions;GROUP C - Total utterances;GROUP C - Ratio claim to triples;GROUP C - Ratio perspectives to triples;GROUP C - Ratio conflicts to triples;GROUP C - Ratio perspectives to claims;GROUP C - Ratio mentions to claims;GROUP C - Ratio conflicts to claims;GROUP C - Average perspectives per claim;GROUP C - Average mentions per claim;GROUP C - Average turns per interaction;GROUP C - Average claims per source;GROUP C - Average perspectives per source
1ab10ab8-b2f2-457c-896a-520028be043f;10;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
603389a3-66a4-47ad-8e2e-a06b573b82bc;11;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
60517a7f-a4ee-464d-a87e-a693c0e70448;12;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
42025651-9f40-4b2c-8bc0-8138be4796f7;13;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
d4675c3f-b741-4a4d-8453-45e21ecd8a32;14;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
9074b7c3-3c3c-4374-a379-b2e707d945f4;15;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
0a3dd1c1-fd75-4ac7-951b-a8f993a01fd7;16;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
f2861327-59da-4fff-ad17-568e4cfa5fe2;17;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
d69a66e3-0882-4407-9f2d-128895f0e375;18;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
d7df7e5b-d505-4f71-99cf-8ae8a6a8d5bb;19;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
5d28e1b4-21e1-4ede-9ade-f0b40d6c8e69;20;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
dd3804cd-cd13-4c2c-a90f-ebc97ef34c9b;21;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
fbefa541-c82c-4aeb-b63b-513cf8119f3e;22;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
acfda2a6-939c-4ce5-9f43-b60167030769;23;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
61c385d1-1196-4c31-ae31-b6ddde2ad4c6;24;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
dbc7097c-73d0-48fe-b2d7-524e15ed84bf;25;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
e06c9ac6-5f28-44f5-9917-91eb72db59fd;26;51.0;66.0;2.588235294117647;0.05176470588235294;0.04837415023478582;0.4863509039979628;-0.21090103324492526;0.0;1.0;-0.21090103324492526;5.0756232683636595;5.47747557072377;0.025374855824682813;0.0;0.0;0.0;0.0;0.0;0.0;66.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.030303030303030304;0.015151515151515152;0.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0
